"","Event_ID","Incid_Type","Asmnt_Type","BurnBndAc","BurnBndLat","BurnBndLon","Ig_Date","Comment","IG_DATE","IG_YEAR","IG_MONTH","IG_DAY","closestStnDist_TMIN","closestStnID_TMIN","closestStnLong_TMIN","closestStnLat_TMIN"
"1","AK6201316162819840703","Wildfire","Extended (SS)",8479,62.013,-161.628,"1984-07-03","",1984-07-03,1984,7,3,30.3360802633558,"USC00508054",-161.3167,61.7833
"2","AK6375715753719840609","Wildfire","Extended (SS)",37083,63.757,-157.537,"1984-06-09","",1984-06-09,1984,6,9,123.516807162458,"USW00026536",-155.9667,62.9
"3","AK6379515502919840623","Wildfire","Extended (SS)",1399,63.795,-155.029,"1984-06-23","",1984-06-23,1984,6,23,97.2579504891453,"USC00505770",-155.5903,62.9583
"4","AK6393015752719840606","Wildfire","Extended (SS)",10243,63.93,-157.527,"1984-06-06","Hard to determine fire perimeter",1984-06-06,1984,6,6,133.705220646244,"USC00508044",-155.4842,64.7425
"5","AK6448214467319840607","Wildfire","Initial (SS)",1897,64.482,-144.673,"1984-06-07","",1984-06-07,1984,6,7,61.265019675339,"USC00502352",-145.105,63.9647
"6","AK6458915275719840623","Wildfire","Extended (SS)",2756,64.589,-152.757,"1984-06-23","",1984-06-23,1984,6,23,72.0433902412222,"USW00026529",-152.1069,65.1744
"7","AK6495716269319840702","Wildfire","Extended (SS)",1689,64.957,-162.693,"1984-07-02","",1984-07-02,1984,7,2,45.2715822371514,"USC00509798",-163.4,64.6833
"8","AK6535415457219840611","Wildfire","Extended (SS)",3169,65.354,-154.572,"1984-06-11","Perimeter difficult to delineate.",1984-06-11,1984,6,11,80.4273484718499,"USC00508044",-155.4842,64.7425
"9","AK6552815643319840703","Wildfire","Extended (SS)",3156,65.528,-156.433,"1984-07-03","",1984-07-03,1984,7,3,98.0706633634389,"USC00508044",-155.4842,64.7425
"10","AK6562715090219840619","Wildfire","Extended (SS)",1258,65.627,-150.902,"1984-06-19","",1984-06-19,1984,6,19,70.9889048211638,"USC00505644",-150.638,64.9989
"11","AK6621715235619840618","Wildfire","Extended (SS)",1964,66.217,-152.356,"1984-06-18","some boundaries indistinct",1984-06-18,1984,6,18,65.2682484992947,"USC00503910",-153.6833,65.9833
"12","AK6640915520219840617","Wildfire","Extended (SS)",1990,66.409,-155.202,"1984-06-17","",1984-06-17,1984,6,17,83.0723990213607,"USC00503910",-153.6833,65.9833
"13","AK6645315732419840624","Wildfire","Extended (SS)",1487,66.453,-157.324,"1984-06-24","perimeter difficult to delineate",1984-06-24,1984,6,24,74.100384743706,"USC00500260",-157.8667,67.0833
"14","AK6793316087819840625","Wildfire","Extended (SS)",6723,67.933,-160.878,"1984-06-25","perimeter difficult to delineate",1984-06-25,1984,6,25,111.494750333069,"USC00505051",-162.8,67.25
"15","AK6807116065419840625","Wildfire","Extended (SS)",1775,68.071,-160.654,"1984-06-25","perimeter difficult to delineate",1984-06-25,1984,6,25,128.818372930508,"USC00505051",-162.8,67.25
"16","AZ3316911195219840926","Wildfire","Initial (SS)",5358,33.169,-111.952,"1984-09-26","Cloud shadow over fire. Fire still visible.",1984-09-26,1984,9,26,9.53356322886196,"USC00025270",-112.0303,33.1139
"17","AZ3317411211019840530","Wildfire","Initial (SS)",1171,33.174,-112.11,"1984-05-30","",1984-05-30,1984,5,30,9.9972665351258,"USC00025270",-112.0303,33.1139
"18","AZ3317511203319840807","Wildfire","Initial (SS)",1060,33.175,-112.033,"1984-08-07","Perimeter difficult to delineate.",1984-08-07,1984,8,7,6.8062835240044,"USC00025270",-112.0303,33.1139
"19","AZ3391411158319840529","Wildfire","Initial (SS)",1839,33.914,-111.583,"1984-05-29","Single scene assessment",1984-05-29,1984,5,29,13.146165371429,"USC00020632",-111.6497,33.8097
"20","AZ3536611193219840614","Wildfire","Extended",1260,35.366,-111.932,"1984-06-14","",1984-06-14,1984,6,14,20.3498209302412,"USC00023160",-111.7428,35.2681
"21","CA3268211688619840421","Wildfire","Initial",3021,32.682,-116.886,"1984-04-21","",1984-04-21,1984,4,21,13.7784350181516,"USC00042706",-116.9281,32.8006
