OBJECTID,ACRES,FIRE_ID,FIRE_NAME,YEAR,STARTMONTH,STARTDAY,SHAPE_Length,SHAPE_Area,FIRE_TYPE
58,1624,AK6143315686420020622,HOHOLITNA,2002,6,22,28514.40292,28634584.63,Wildfire
59,1244,AK6144314351520110530,GILAHINA,2011,5,30,34676.77252,21968673.86,Wildfire
60,193968,AK6145515569120130531,LIME HILLS,2013,5,31,1119084.794,3439724910,Wildfire
61,3166,AK6145515688920130626,HOHOLITNA,2013,6,26,52791.05914,55863318.11,Wildfire
62,2304,AK6147815785720150620,OSKAWALIK RIVER,2015,6,20,48002.52203,40694595.06,Wildfire
63,2504,AK6149015915820160714,DOESTOCK CREEK,2016,7,14,47752.55076,44285775.54,Wildfire
64,46360,AK6149815578120150620,WHY LAKE,2015,6,20,315682.4299,820767575.3,Wildfire
65,20058,AK6152115482220050627,SWIFT,2005,6,27,175819.1964,355695511.1,Wildfire
66,4253,AK6153316044220020519,KALSKAG,2002,5,19,67267.71205,75484507.28,Wildfire
67,3573,AK6158415540919940613,GAGARYAH 2,1994,6,13,98405.01216,63616113.56,Wildfire
68,1841,AK6158915685920090525,BIG LAKE,2009,5,25,57951.64131,32785835.48,Wildfire
69,1138,AK6159015666120150621,BASKET CREEK #2,2015,6,21,31072.67854,20262654.7,Wildfire
70,2248,AK6162315989220090617,WINTER TRAIL,2009,6,17,60880.72854,40130357.76,Wildfire
71,4903,AK6164015534020130730,GAGARYAH 2,2013,7,30,102322.43,87651739.74,Wildfire
72,8459,AK6122415515419910630,STONEY,1991,6,30,102825.8868,147197722.7,Wildfire
73,2896,AK6122715729519910703,KULUKBUK,1991,7,3,56697.75217,50397779.89,Wildfire
74,11313,AK6123115454019900703,ROCK CREEK,1990,7,3,121546.584,196954878.9,Wildfire
75,24635,AK6124915895920130530,DOESTOCK CREEK,2013,5,30,162341.6205,429010729.2,Wildfire
76,56374,AK6126114312320090702,CHAKINA,2009,7,2,320468.5064,983280093.2,Wildfire
77,4528,AK6126916028820160714,BOGUS CREEK,2016,7,14,124606.7206,79082967.38,Wildfire
78,1333,AK6127415747820150711,CHUILNUK RIVER,2015,7,11,28016.55282,23261788.97,Wildfire
79,22827,AK6129414325120160716,STEAMBOAT CREEK,2016,7,16,286037.0571,397942114,Wildfire
80,3689,AK6130215976320080706,DISCOVERY SOUTH,2008,7,6,40846.3223,64517388.48,Wildland Fire Use
81,23341,AK6130716321820150623,IZAVLKNEK RIVER,2015,6,23,206693.0171,407349617.2,Wildfire
82,19915,AK6131716358820020618,AROPUK,2002,6,18,181114.6567,348586143.1,Wildfire
83,31490,AK6131915985520150624,OPHIR CREEK,2015,6,24,255165.265,550864384.6,Wildfire
84,70232,AK6133716252320150622,KUKA CREEK 4,2015,6,22,493014.0181,1226915638,Wildfire
85,6179,AK6135616082720160714,ISRATHORAK CREEK,2016,7,14,92083.54687,108426518.6,Wildfire
86,12243,AK6136115580720150621,KUTOKBUNA LAKE,2015,6,21,144037.6245,215043539.4,Wildfire
87,70980,AK6138116038420150601,WHITEFISH LAKE 1,2015,6,1,401433.8209,1245592927,Wildfire
88,2139,AK6200315760320020718,CROOKED #3,2002,7,18,51815.50194,39149939.76,Wildfire
89,8479,AK6201316162819840703,KUYUKUTUK,1984,7,3,72131.43086,155243989.8,Wildfire
90,20613,AK6201515923719910629,CROSS,1991,6,29,152282.906,377433790.6,Wildfire
91,20099,AK6205516117920160603,KUYUKUTUK RIVER,2016,6,3,235143.7622,369155436.9,Wildfire
92,4119,AK6207115650620020717,MOOSE CREEK,2002,7,17,84941.63661,75591045.29,Wildfire
93,133070,AK6207315901020050802,SADDLE,2005,8,2,636685.5669,2443107712,Wildfire
94,7032,AK6209515712719910701,LITTLE,1991,7,1,99005.29676,129440263.3,Wildfire
95,5432,AK6213415839320160714,SMITH CREEK,2016,7,14,126731.9651,100233451.5,Wildfire
96,5852,AK6214416168920090613,NAGEETHLUK RIVER,2009,6,13,68940.84331,108071897.1,Wildland Fire Use
97,3837,AK6217015707919910630,GEORGE,1991,6,30,77987.31801,70979650.6,Wildfire
98,2474,AK6218415837119910630,GLACIER,1991,6,30,81927.64949,45775065.22,Wildfire
99,27862,AK6219915521220050626,UPPER TATLAWIKSUK,2005,6,26,268661.7493,516375611.4,Wildfire
100,45239,AK6221716090020150625,STUYAHOK RIVER,2015,6,25,322740.1529,841779756,Wildfire
101,3453,AK6222115659020150622,LITTLE SOUTH FORK,2015,6,22,52005.08862,64082001.63,Wildfire
102,59754,AK6222215599620050703,WASKY,2005,7,3,575931.454,1109863039,Wildfire
103,56332,AK6222916164120060531,NAGEETHLUK RIVER,2006,5,31,249233.6924,1046122730,Wildfire
104,5686,AK6225015525219900702,JOINED,1990,7,2,114416.2798,105729089.8,Wildfire
105,30326,AK6227615474820090705,BIG RIVER,2009,7,5,386808.6447,564925935.6,Wildfire
106,15424,AK6228315871720150620,REINDEER RIVER,2015,6,20,192799.9418,287259267.8,Wildfire
107,2982,AK6164015926820150623,MISSION CREEK,2015,6,23,66947.8379,53263537.01,Wildfire
108,3892,AK6165315758520090525,OSKAWALIK,2009,5,25,85407.93725,69615032.77,Wildfire
109,57411,AK6165415966120150623,NORTH ANIAK,2015,6,23,295094.5014,1026486342,Wildfire
110,1217,AK6166715940620160714,OWHAT RIVER 2,2016,7,14,24344.72797,21817929.87,Wildfire
111,82041,AK6169316092520050802,TALBIKSOK,2005,8,2,434902.7898,1467113105,Wildfire
112,19547,AK6169715522120090703,GAGARYAH 2,2009,7,3,272800.1105,350516647.7,Wildfire
113,4579,AK6173215553319940614,GAGARYAH 3,1994,6,14,60123.92068,82311686.47,Wildfire
114,1151,AK6175916306020160715,PITMIK RIVER,2016,7,15,30955.80351,20711678.69,Wildfire
115,1046,AK6177615063720020716,THURSDAY CREEK,2002,7,16,32314.71902,18856134.47,Wildfire
116,40922,AK6180015953320150624,OWHAT RIVER,2015,6,24,279657.2084,740519202.4,Wildfire
117,51242,AK6180515536719900702,ROUND,1990,7,2,326802.5828,924522816.3,Wildfire
118,5767,AK6181415925719910629,MOLY,1991,6,29,96621.22639,104223396.5,Wildfire
119,6538,AK6184515008520150614,SOCKEYE,2015,6,14,132333.2442,118060986.8,Wildfire
120,16711,AK6185815828420150621,VILLAGE CREEK,2015,6,21,231003.1236,301718926.5,Wildfire
121,2781,AK6188815835220060706,NORTH HORN,2006,7,6,48164.33563,50493390.13,Wildfire
122,10723,AK6189215821719900701,CROOKED CR,1990,7,1,87623.44348,194776099.6,Wildfire
123,8547,AK6190315790219890702,CROOKED CREEK,1989,7,2,122667.4851,155361069.8,Wildfire
124,11698,AK6194115897320150621,QUINN CREEK,2015,6,21,215396.2351,213378405.2,Wildfire
125,6959,AK6194415021020070620,SU RIVER,2007,6,20,141436.7613,126835866.6,Wildfire
126,4174,AK6195115929819870610,LANDMARK,1987,6,10,82348.09437,76072560.72,Wildfire
127,28531,AK6196215537920090702,CHEENEETNUK,2009,7,2,338876.1669,520142962.3,Wildfire
128,3595,AK6197815755020160714,GEORGE RIVER,2016,7,14,60645.87156,65609882.21,Wildfire
129,1139,AK6198615735920160714,SOUTH FORK GEORGE RIVER,2016,7,14,31614.2279,20820562.71,Wildfire
130,62983,AK6199915758620050731,GEORGE,2005,7,31,337375.4104,1155618750,Wildfire
131,38180,AK6244215459120100529,LONE MOUNTAIN,2010,5,29,380366.2253,720263461.6,Prescribed Fire
132,7382,AK6244915566819850730,SELATNA,1985,7,30,126121.9756,139104383.4,Wildfire
133,135665,AK6245215694220130612,UNNAMED,2013,6,12,734088.7993,2556629274,Unknown
134,6421,AK6245915431819860703,KLUCHAY,1986,7,3,89309.21346,121069061.5,Wildfire
135,47612,AK6246315841120150623,LOWER REINDEER PEAK,2015,6,23,282740.5044,898471134,Wildfire
136,37942,AK6246414163320150609,CHISANA RIVER  2,2015,6,9,291740.3113,716484933.4,Wildfire
137,13301,AK6247715658320050721,BIG WALDREN,2005,7,21,265222.2298,250857938.5,Wildfire
138,1135,AK6248015455119860704,MIDDLE FORK,1986,7,4,29002.28955,21428554.14,Wildfire
139,4741,AK6248116092020050812,STUYAHOK,2005,8,12,117539.303,89433213.51,Wildfire
140,29138,AK6249215486220050615,LONE MOUNTAIN,2005,6,15,206089.9629,550638904.5,Wildfire
141,44398,AK6251014141420130531,CHISANA RIVER,2013,5,31,277824.4457,835475957.5,Wildfire
142,1583,AK6251614470219950612,BILLY LAKE,1995,6,12,45444.05113,29968859.96,Wildfire
143,4336,AK6252015747620150624,LITTLE MONTANA CREEK,2015,6,24,125251.9502,82097316.84,Wildfire
144,2867,AK6253214472720160715,YOKNEDA LAKE,2016,7,15,76126.07561,54279650.49,Wildfire
145,15288,AK6254015693720050802,WOLF,2005,8,2,235287.5858,290256921,Wildfire
146,7749,AK6254216044119910709,132687,1991,7,9,84211.77601,146936227.8,Wildfire
147,8846,AK6254814227319940615,LICK CREEK,1994,6,15,150785.4933,167790276.6,Wildfire
148,5489,AK6256215664519850720,SUGARLOAF,1985,7,20,133204.522,104221981.9,Wildfire
149,3229,AK6259015413520140618,SHEEP CREEK,2014,6,18,59168.29088,61396737.27,Wildfire
150,86915,AK6259215372820100517,TURQUOISE LAKE,2010,5,17,572034.8942,1643588552,Wildfire
151,60898,AK6259815802820150620,IDITAROD RIVER,2015,6,20,403303.8604,1155800904,Wildfire
152,19388,AK6260115516920050720,BLACK WATER,2005,7,20,196345.2077,368674387.1,Wildfire
153,4780,AK6260315742119850801,CAMELBACK,1985,8,1,69228.58179,90997169.68,Wildfire
154,41929,AK6262114163820030716,BLACK HILL,2003,7,16,382556.4277,799205264.3,Wildland Fire Use
155,33691,AK6262415759820150620,HICKEY CREEK,2015,6,20,270443.6629,641513232,Wildfire
156,18279,AK6263515818120090612,FRANKLIN CREEK,2009,6,12,177722.3686,348737724,Wildfire
157,67318,AK6265115433220020717,WINDY,2002,7,17,233847.9063,1285075462,Wildfire
158,23629,AK6265515350920090526,DILLINGER,2009,5,26,308101.9629,451452827,Wildfire
159,6632,AK6266815537820090524,KATLITNA,2009,5,24,104582.8496,126822036.6,Wildfire
160,14334,AK6267716299719910609,132242,1991,6,9,120879.9702,274264198.9,Wildfire
161,175486,AK6268315550920020522,VINASALE,2002,5,22,782925.9169,3380260510,Wildfire
162,6230,AK6269814518520130627,EXCELSIOR,2013,6,27,96366.37994,119404709.3,Wildfire
163,34657,AK6269814681720040809,ALPHABET HILLS,2004,8,9,471205.6251,663344785.9,Wildfire
164,1148,AK6274014167020090527,TETLIN REFUGE 1,2009,5,27,45658.07011,22063260.94,Wildland Fire Use
165,51550,AK6276015852920050802,YETNA,2005,8,2,463183.0927,987552360.6,Wildfire
166,156189,AK6277215826720020718,YETNA RIVER,2002,7,18,525409.3618,3007766952,Wildfire
167,10827,AK6277415728220150622,MAYBE CREEK,2015,6,22,118535.1008,208416362.4,Wildfire
168,40132,AK6277815740120050802,DISHNA,2005,8,2,307939.4667,770827943.1,Wildfire
169,45200,AK6278715527219940613,KATLITNA,1994,6,13,245979.363,871268961.1,Wildfire
170,2657,AK6280314184019860614,613009,1986,6,14,73453.44563,51263077.62,Wildfire
171,44650,AK6283416064320050730,GRAYLING CREEK,2005,7,30,274259.501,861574342.9,Wildfire
172,1525,AK6229614682320130731,TABERT LAKE,2013,7,31,47751.49719,28479155.55,Wildfire
173,8527,AK6229615889420160714,REINDEER RIVER,2016,7,14,84055.08549,159139819.6,Wildfire
174,17514,AK6230116184820090613,ALLMAN LAKE,2009,6,13,126435.6243,326777065.2,Wildland Fire Use
175,225783,AK6232015915020020717,REINDEER,2002,7,17,674912.7531,4218111423,Wildfire
176,28882,AK6234115827319890702,SWINGING DOME,1989,7,2,187796.2372,540338340.2,Wildfire
177,86445,AK6236115628419880712,804028,1988,7,12,388750.3019,1616791176,Wildfire
178,11803,AK6237615663720020619,BIG WALDREN,2002,6,19,137941.2014,221323439.8,Wildfire
179,15567,AK6239116102520150625,HAWK RIVER,2015,6,25,163711.1752,291708877.1,Wildfire
180,5409,AK6243715655820020717,WALDREN FORK,2002,7,17,110601.1457,101831295.5,Wildfire
181,1364,AK6243715853720100528,REINDEER RIVER,2010,5,28,30419.31332,25690803.96,Prescribed Fire
182,9522,AK6283615543219850803,KATLITNA,1985,8,3,95674.82046,184159664.7,Wildfire
183,33077,AK6284115342020150626,DEEPBANK CREEK,2015,6,26,206116.5271,641694101.8,Wildfire
184,95035,AK6289415864020040708,BIG YETNA,2004,7,8,449010.5417,1845322920,Wildfire
185,3812,AK6292716050820020720,GOBLET CREEK,2002,7,20,50830.18536,74191140.68,Wildfire
186,5106,AK6293614101320090609,SWAMP CREEK,2009,6,9,120994.4043,99536705.33,Wildfire
187,7295,AK6293715788819850728,531021,1985,7,28,99940.28327,142064627.8,Wildfire
188,12003,AK6294916290120001227,PASTOLIAK RIVER,2000,12,27,127970.3645,233923995.9,Wildfire
189,27671,AK6295814188120150621,LONG LAKE,2015,6,21,314359.1833,536666123.5,Wildfire
190,7656,AK6296815936720150603,INNOKO RIVER,2015,6,3,127048.0982,149659328.7,Wildfire
191,2115,AK6297915773420070703,HORSEFLY,2007,7,3,46087.82165,41308766.8,Wildland Fire Use
192,125751,AK6298214136220040617,TAYLOR HIGHWAY COMPLEX (GARDINER CREEK),2004,6,17,473065.9627,2456366491,Wildfire
193,24199,AK6303315543920090524,BROKEN SNOWSHOE,2009,5,24,274342.8717,474323179,Wildfire
194,14058,AK6303316298320150621,APOON,2015,6,21,137350.2494,275502253,Wildfire
195,3712,AK6306115303320150706,DENNIS,2015,7,6,70264.35834,72992260.26,Wildfire
196,103443,AK6310915773020050801,CHICKEN MOUNTAIN,2005,8,1,454364.6332,2038306263,Wildfire
197,3047,AK6311816279219910608,132239,1991,6,8,50233.43461,60073587.89,Wildfire
198,26286,AK6312215733120110527,DISHMOUNTAIN,2011,5,27,243655.9243,518417036.1,Wildfire
199,3245,AK6312615668620150626,BEAVER CREEK,2015,6,26,72681.10361,63984461.18,Wildfire
200,2066,AK6315715593220150625,JOHN REEK CREEK 3,2015,6,25,56808.93125,40842456.14,Wildfire
201,28824,AK6315814142519980702,GARDINER CREEK,1998,7,2,240183.9586,569860652.8,Wildfire
202,3044,AK6316215681120150624,AMERICAN CREEK,2015,6,24,62026.23719,60158795.11,Wildfire
203,16288,AK6316815419220150624,NORTH FORK FLATS,2015,6,24,174738.5467,322185444.5,Wildfire
204,1947,AK6317414196120130531,BITTER CREEK,2013,5,31,67997.72023,38486153.72,Wildfire
205,1874,AK6318714295920150621,TETLIN HILLS,2015,6,21,48748.8952,37094653.73,Wildfire
206,30221,AK6318715437720020717,NORTH FORK,2002,7,17,231829.3212,598380207.3,Wildfire
207,8818,AK6321614149219940807,GARDNER CR,1994,8,7,117779.6838,175027035.1,Wildfire
208,1028,AK6321915689520040715,HURST,2004,7,15,34694.14431,20408432.16,Wildfire
209,5570,AK6323314295320030527,TOK RIVER,2003,5,27,111852.6768,110701420.8,Wildfire
210,18142,AK6323414099420070619,LADUE,2007,6,19,207595.8407,360548950,Wildfire
211,1955,AK6323815384020040722,EAST FORK HILLS,2004,7,22,52744.7219,38865054.61,Wildfire
212,1501,AK6323815415319910630,BERRY,1991,6,30,39897.54383,29841025.8,Wildfire
213,95688,AK6324514276619900701,TOK RIVER,1990,7,1,351297.4484,1903115527,Wildfire
214,10406,AK6324515607320020717,SOUTH FORK,2002,7,17,115615.3057,206963619.5,Wildfire
215,7773,AK6325016133320150621,GOLSOVIA 3,2015,6,21,87078.81663,154404577.2,Wildfire
216,16349,AK6325315658720050808,CARIBOU,2005,8,8,269940.3832,325352671.4,Wildfire
217,25759,AK6325615408420150621,SODA CREEK,2015,6,21,256683.3791,512439487.5,Wildfire
218,7869,AK6328215544320040719,WEST FORK,2004,7,19,107242.3063,156903450.1,Wildfire
219,3564,AK6328315440020150624,SCOW HARRY # 2,2015,6,24,97719.5686,71111996.32,Wildfire
220,18531,AK6328614244520130625,TETLIN JCT RIDGE,2013,6,25,239147.0696,369981234.1,Wildfire
221,1692,AK6328715436819850803,HARRY,1985,8,3,41231.42426,33742270.97,Wildfire
222,21953,AK6329114161920090601,LADUE RIVER,2009,6,1,280175.36,437918843,Wildfire
223,4218,AK6330115410320100528,NORTH FORK,2010,5,28,85979.82962,84164121.71,Wildfire
224,4687,AK6339815333619860627,BEAR ISLAND,1986,6,27,86326.66154,94203283.73,Wildfire
225,7518,AK6340514152420130625,LADUE FORK,2013,6,25,113640.1336,150876431.4,Wildfire
226,11457,AK6341814254419900706,PORCUPINE,1990,7,6,85588.66178,230625658.2,Wildfire
227,123989,AK6341815761120150620,BLAZO,2015,6,20,853167.3024,2505340347,Wildfire
228,11049,AK6342014275119860615,PORCUPINE,1986,6,15,157389.9218,222439656.4,Wildfire
229,20203,AK6342414352720100526,EAGLE TRAIL,2010,5,26,175329.6287,406132200.4,Wildfire
230,27819,AK6342814369920130625,MOON LAKE,2013,6,25,200187.8933,561273312.8,Wildfire
231,8972,AK6342915456920100527,MYSTERY,2010,5,27,105910.2515,180729747.6,Prescribed Fire
232,8955,AK6343315367220150624,PONTAG CREEK,2015,6,24,116460.8343,180118795.3,Wildfire
233,68914,AK6343415535920050524,WASHINGTON CR.,2005,5,24,683028.5882,1385602641,Wildfire
234,5926,AK6344115780520130627,HAMMER CREEK,2013,6,27,53387.13191,119543560.7,Wildfire
235,1354,AK6344414415620150620,ROBINSON FORK,2015,6,20,39065.72296,27280586.24,Wildfire
236,2024,AK6344614202319950512,DENNISON FORK,1995,5,12,63273.01043,40800991.84,Wildfire
237,8495,AK6347415357320100708,NO NAME CREEK,2010,7,8,135751.4457,171668647.6,Wildfire
238,12884,AK6347715210120130706,CASTLE ROCK,2013,7,6,217590.6207,259924475.1,Wildfire
239,114043,AK6347715235920050614,HIGHPOWER CREEK,2005,6,14,790149.1756,2307041976,Wildland Fire Use
240,3516,AK6347915248619860704,MHM S 28,1986,7,4,76870.10469,71073762.25,Wildfire
241,2239,AK6347915461819860704,COTTONWOOD,1986,7,4,40928.40791,45259152.72,Wildfire
242,4566,AK6348715366519910629,FORK,1991,6,29,70737.67316,92419382.67,Wildfire
243,2940,AK6349015334420150712,BEAR ISLAND LAKE,2015,7,12,88512.40793,59535120.66,Wildfire
244,2631,AK6349315164319860704,MHM SE 27,1986,7,4,54116.28958,53229895.89,Wildfire
245,267726,AK6349714262320040626,TAYLOR HIGHWAY COMPLEX (PORCUPINE),2004,6,26,753556.114,5418913571,Wildfire
246,1533,AK6349815219420090525,LIVE TRAP LAKE,2009,5,25,54544.64381,31024859.99,Wildland Fire Use
247,3278,AK6350415786520050615,HAMMER CREEK,2005,6,15,106134.7736,66383968.87,Wildfire
248,1547,AK6351115433019860704,VON FRANK,1986,7,4,37201.28371,31339548.08,Wildfire
249,13230,AK6351515385820020819,LOST TWENTY,2002,8,19,195011.8661,268116643.9,Wildfire
250,3575,AK6352415228020050614,HERRON RIVER,2005,6,14,53791.39768,72490474.15,Wildland Fire Use
251,2057,AK6354414158520090526,EAST FORK DENNISON,2009,5,26,60309.22905,41775846.69,Wildfire
252,3804,AK6354415567219860704,SUSU,1986,7,4,61176.71914,77244327.82,Wildfire
253,1306,AK6330715560720150623,AGATE FORK SUSULATNA RIVER,2015,6,23,46117.03687,26095604.57,Wildfire
254,6468,AK6331815408019910630,SODA,1991,6,30,85423.67834,129304554.7,Wildfire
255,31133,AK6333316155020150621,SISTERS,2015,6,21,235282.5327,622028307.7,Wildfire
256,2598,AK6333316183320140812,THE SISTERS,2014,8,12,34507.98957,52149314.92,Wildfire
257,3443,AK6334015588620160714,FOLGER CREEK,2016,7,14,75218.58303,68940774.23,Wildfire
258,4067,AK6334915125520150622,IRON,2015,6,22,80735.3029,81531332.13,Wildfire
259,159040,AK6335015356320090523,TONCLONUKNA CREEK,2009,5,23,1063197.699,3171993272,Wildfire
260,5095,AK6335315749919910702,OLD,1991,7,2,92130.7388,102098855.4,Wildfire
261,6341,AK6335815839219940609,GAL SW 94,1994,6,9,113697.9228,127107181.8,Wildfire
262,21319,AK6337815356319980630,SLOW FORK,1998,6,30,211134.2818,427928238.7,Wildfire
263,4876,AK6338715748520070610,HAMMER CREEK,2007,6,10,108548.8093,97918437.49,Wildland Fire Use
264,3744,AK6374315115120130621,BEAR CREEK,2013,6,21,70110.0629,77014400.56,Wildfire
265,22362,AK6374815262320040810,LAKE SNOHOMISH,2004,8,10,216585.5109,460663548.6,Wildfire
266,11045,AK6375615978220130620,OLD WOMEN RIVER,2013,6,20,133823.1953,227788022.1,Wildfire
267,37083,AK6375715753719840609,WAPOO FIRE,1984,6,9,268979.0881,764411233.9,Wildfire
268,8101,AK6375814137219990612,MT.TERREL,1999,6,12,116372.0973,166996079.3,Wildfire
269,8745,AK6376614169520130627,BIG TIMBER CREEK,2013,6,27,96615.78494,180527811,Wildfire
270,18065,AK6376715207620000623,FORAKER,2000,6,23,212497.1738,372351435.2,Wildfire
271,460537,AK6377414344020040618,TAYLOR HIGHWAY COMPLEX (BILLY CREEK),2004,6,18,949310.0048,9504893389,Wildfire
272,7920,AK6377815110019910704,MHM E 32,1991,7,4,95379.43829,163495649.3,Wildfire
273,8340,AK6378014605020010924,DULUTH,2001,9,24,124350.6326,172193875.5,Wildfire
274,2644,AK6378515937720150620,HONEYMOON,2015,6,20,71524.83236,54582793.96,Wildfire
275,6608,AK6355115216620010626,HERRON RIVER,2001,6,26,102727.764,134252747.5,Wildland Fire Use
276,118933,AK6355515284120020717,MOOSE LAKE,2002,7,17,475774.6448,2417093174,Wildland Fire Use
277,4540,AK6356715135220130628,MCKINLEY RIVER EAST,2013,6,28,63328.19442,92451668.45,Wildfire
278,62565,AK6356715376720150626,RUNGUN CREEK,2015,6,26,480382.1752,1272131862,Wildfire
279,7222,AK6358714204520150622,DENNISON FORK,2015,6,22,212928.3966,147058242.5,Wildfire
